iter	Passed	Remaining
436	2290	330
437	2295	324
438	2301	319
439	2307	314
440	2312	309
441	2317	304
442	2321	298
443	2326	293
444	2331	288
445	2336	282
446	2341	277
447	2346	272
448	2350	267
449	2355	261
450	2360	256
451	2365	251
452	2370	245
453	2375	240
454	2380	235
455	2384	230
456	2390	224
457	2394	219
458	2399	214
459	2404	209
460	2409	203
461	2414	198
462	2419	193
463	2424	188
464	2429	182
465	2434	177
466	2439	172
467	2444	167
468	2448	161
469	2453	156
470	2458	151
471	2462	146
472	2467	140
473	2472	135
474	2477	130
475	2481	125
476	2486	119
477	2492	114
478	2496	109
479	2501	104
480	2506	99
481	2511	93
482	2516	88
483	2521	83
484	2528	78
485	2533	72
486	2539	67
487	2544	62
488	2549	57
489	2555	52
490	2560	46
491	2565	41
492	2571	36
493	2576	31
494	2581	26
495	2586	20
496	2591	15
497	2596	10
498	2601	5
499	2606	0
