iter	Logloss
0	0.6609971164
1	0.6278382368
2	0.5946425116
3	0.5656025354
4	0.5391942665
5	0.5157335977
6	0.4923617258
7	0.469317382
8	0.4463385132
9	0.425452395
10	0.4071909161
11	0.3898345029
12	0.3739377025
13	0.3595035004
14	0.3446426136
15	0.3325645932
16	0.3203706263
17	0.3120724477
18	0.3028374101
19	0.2927934015
20	0.2854237381
21	0.2774383647
22	0.2700546928
23	0.2604172365
24	0.2528808747
25	0.2480186029
26	0.2418408856
27	0.2362992915
28	0.2293317916
29	0.2248234573
30	0.2195408033
31	0.2134311255
32	0.2094337693
33	0.2061433314
34	0.1999142497
35	0.1960017099
36	0.1929120475
37	0.187486757
38	0.1848306688
39	0.180999118
40	0.1767346181
41	0.1729623929
42	0.1697230514
43	0.1668937198
44	0.1636178007
45	0.1610660872
46	0.157714461
47	0.1536086347
48	0.1501979764
49	0.1469063137
50	0.1440370617
51	0.1409828416
52	0.1392197497
53	0.1357638764
54	0.1331298981
55	0.1315315655
56	0.1298353903
57	0.1279405957
58	0.1264012059
59	0.1241136379
60	0.1221243051
61	0.1195056494
62	0.1175269443
63	0.115489156
64	0.1139838688
65	0.1116580517
66	0.1098815255
67	0.1087005386
68	0.1070833748
69	0.1057930886
70	0.1039999385
71	0.1023557593
72	0.1010830729
73	0.09997790793
74	0.09860579704
75	0.09761083086
76	0.09644015896
77	0.09520618094
78	0.09397386787
79	0.09281468471
80	0.09183907908
81	0.09108297801
82	0.08959360665
83	0.08870483322
84	0.08738648533
85	0.08616100426
86	0.08494859396
87	0.08364887939
88	0.08244777922
89	0.08142682461
90	0.08043645776
91	0.0795744191
92	0.07861182682
93	0.07777020764
94	0.07692812916
95	0.07617659553
96	0.07544383556
97	0.0745769488
98	0.07384445037
99	0.07272721613
100	0.07217014912
101	0.07139073247
102	0.07046794572
103	0.06964047537
104	0.06856818821
105	0.06803025848
106	0.06721460221
107	0.06636960849
108	0.0656558965
109	0.06488217
110	0.06402478808
111	0.06329617452
112	0.06254919556
113	0.06181503857
114	0.06115263362
115	0.0605644813
116	0.06010666659
117	0.0593475227
118	0.05875961916
119	0.05809966378
120	0.05750949566
121	0.05692580233
122	0.05641207488
123	0.05585565216
124	0.05517040368
125	0.05468211605
126	0.05421405652
127	0.05359354944
128	0.05316438324
129	0.05276894968
130	0.05240358078
131	0.05206053552
132	0.05159380603
133	0.05084215757
134	0.05045205694
135	0.05002309487
136	0.04936692228
137	0.0489099241
138	0.04835988048
139	0.04794654719
140	0.04758716188
141	0.04716349445
142	0.04664803189
143	0.04629728068
144	0.04593500884
145	0.04553963269
146	0.04498535335
147	0.04452875705
148	0.04416939088
149	0.04381832391
150	0.043447587
151	0.04306651278
152	0.04275455921
153	0.04243503047
154	0.04219690533
155	0.04175560929
156	0.04142757084
157	0.04091754007
158	0.04056462955
159	0.04012993267
160	0.03979148992
161	0.03946286141
162	0.03905599333
163	0.03870301263
164	0.03842284927
165	0.03814732351
166	0.03784600708
167	0.03752927238
168	0.03713157424
169	0.03679833683
170	0.03650651249
171	0.03622564743
172	0.03599572899
173	0.03568436549
174	0.0353722971
175	0.03510467504
176	0.03486562493
177	0.03454116834
178	0.03418336186
179	0.0339806024
180	0.03363425277
181	0.03333547522
182	0.033147107
183	0.03284528662
184	0.0326050819
185	0.0323194995
186	0.03209092386
187	0.03186922169
188	0.03164778744
189	0.03147140554
190	0.03124164658
191	0.03097705458
192	0.03096761034
193	0.03075934254
194	0.03050334637
195	0.0302951296
196	0.0301016613
197	0.02988438941
198	0.02966882074
199	0.02943521838
200	0.02924426662
201	0.02923276512
202	0.02894938032
203	0.02870877052
204	0.02854558696
205	0.02835608964
206	0.02814520003
207	0.02795008911
208	0.02773723794
209	0.02753818155
210	0.027296398
211	0.02713864942
212	0.02693765698
213	0.02671078455
214	0.02650252154
215	0.02636662455
216	0.0261705153
217	0.0260080127
218	0.02580295997
219	0.02565111205
220	0.0254764206
221	0.02525340753
222	0.0250674522
223	0.02488417291
224	0.02472437983
225	0.02457071706
226	0.02438798796
227	0.02419924337
228	0.02399354635
229	0.02382010042
230	0.02368140779
231	0.02351575552
232	0.02333563706
233	0.02318425482
234	0.02304188145
235	0.02286300532
236	0.02270615938
237	0.02256586081
238	0.02237978588
239	0.02223537598
240	0.02208164942
241	0.02193741176
242	0.02181741785
243	0.02165452932
244	0.02153245262
245	0.02139471686
246	0.02127535766
247	0.02106987114
248	0.02093968025
249	0.02082123964
250	0.02071785688
251	0.0205879658
252	0.02045332548
253	0.02036026728
254	0.02022907168
255	0.0201260302
256	0.02000074961
257	0.01991341664
258	0.01977306226
259	0.01964989474
260	0.01953081622
261	0.01941234372
262	0.01931239929
263	0.01919843361
264	0.01910473431
265	0.01900860458
266	0.01890061133
267	0.01879243627
268	0.01867158756
269	0.01855031304
270	0.01844445359
271	0.01833995449
272	0.01823116704
273	0.01812824517
274	0.01803317596
275	0.01793410068
276	0.01783684345
277	0.01773548126
278	0.01763346682
279	0.01753462437
280	0.01743680897
281	0.0173446853
282	0.01725298585
283	0.01714284922
284	0.01706266244
285	0.01698716269
286	0.01690158557
287	0.01678160441
288	0.01668210811
289	0.01658882983
290	0.01649391532
291	0.01641084039
292	0.0163320905
293	0.01624147868
294	0.01615250948
295	0.01608786057
296	0.01601409274
297	0.0159518631
298	0.01586699087
299	0.01578401961
300	0.01570806216
301	0.01564597765
302	0.01557131994
303	0.01551007746
304	0.01543516299
305	0.01537302904
306	0.01530668807
307	0.01524085743
308	0.01516815173
309	0.01508667477
310	0.01502860589
311	0.01496625186
312	0.01488731856
313	0.01481936528
314	0.01475069914
315	0.01467423295
316	0.01461112459
317	0.01454815498
318	0.01447651139
319	0.01440647215
320	0.01434900928
321	0.01427732264
322	0.01421561927
323	0.01415178369
324	0.01410284329
325	0.01404349062
326	0.01399168761
327	0.01393746532
328	0.01386945144
329	0.01381340792
330	0.01376354894
331	0.01371332315
332	0.0136543612
333	0.01360961506
334	0.01354634084
335	0.01349382656
336	0.01344623055
337	0.01338448094
338	0.01332404143
339	0.01327354453
340	0.01322668452
341	0.01316483124
342	0.01311509346
343	0.01306633248
344	0.01300781706
345	0.01296741109
346	0.01292054868
347	0.01287500675
348	0.01283599461
349	0.01278898947
350	0.01274458461
351	0.01268868542
352	0.01264602046
353	0.01260328931
354	0.01254742441
355	0.0125058997
356	0.01245109692
357	0.01239802845
358	0.01235002897
359	0.01231442247
360	0.01227047292
361	0.01220609352
362	0.01215310878
363	0.01211474093
364	0.01206428311
365	0.0120153172
366	0.01197797957
367	0.01192745397
368	0.01187242872
369	0.01182284961
370	0.01178409663
371	0.01174446253
372	0.01170855143
373	0.01165658814
374	0.0116251416
375	0.01158500116
376	0.01153135938
377	0.01148674879
378	0.0114525417
379	0.01140167003
380	0.0113590569
381	0.01132588881
382	0.01128120805
383	0.0112303005
384	0.01118090001
385	0.01113388132
386	0.01109093886
387	0.01104533393
388	0.01100928648
389	0.01097783596
390	0.01094179249
391	0.01091129883
392	0.01086537256
393	0.01082004113
394	0.01078174904
395	0.01074769106
396	0.0107145453
397	0.01067157733
398	0.01063174787
399	0.01059544366
400	0.01055246851
401	0.0105103051
402	0.01046953552
403	0.01044156001
404	0.01041603009
405	0.01038501414
406	0.01034297433
407	0.01031643491
408	0.01027628092
409	0.01023972234
410	0.01019919836
411	0.01015689301
412	0.01011937119
413	0.01008415302
414	0.01005851864
415	0.01002209163
416	0.009986678095
417	0.009961732654
418	0.009937737698
419	0.009906584603
420	0.00986313182
421	0.00983959855
422	0.009803952979
423	0.00976710176
424	0.00973410431
425	0.009705974107
426	0.009680248024
427	0.009658316705
428	0.009629003978
429	0.009602174312
430	0.009566069447
431	0.00953062402
432	0.009496217587
433	0.009462611731
434	0.00942986466
435	0.009405667168
436	0.009373538869
437	0.009341951995
438	0.009314970827
439	0.009293589704
440	0.009272524346
441	0.009247736787
442	0.009217719171
443	0.009194207431
444	0.00916397133
445	0.009131130965
446	0.009110562379
447	0.009084866597
448	0.009064675972
449	0.009034971728
450	0.009005916557
451	0.008986064822
452	0.008958358828
453	0.008930118586
454	0.00891083459
455	0.008882786518
456	0.008858507692
457	0.008830502679
458	0.008802252071
459	0.008775328314
460	0.008749465879
461	0.008717776142
462	0.008699339768
463	0.008668684242
464	0.008638794207
465	0.008609251035
466	0.008583748221
467	0.00855753972
468	0.008531576814
469	0.008502176374
470	0.008477494071
471	0.008449227515
472	0.00842706575
473	0.008401330099
474	0.008372812367
475	0.008348459384
476	0.008326801568
477	0.008302049095
478	0.008277303798
479	0.008253501012
480	0.008229116931
481	0.008208408802
482	0.008187513288
483	0.008164527823
484	0.008137324981
485	0.008117198147
486	0.00809758164
487	0.008071155452
488	0.0080411793
489	0.008018991222
490	0.007996656424
491	0.007975021732
492	0.007949777271
493	0.007926778251
494	0.007910767527
495	0.007889724495
496	0.007874190608
497	0.007849281847
498	0.007828750738
499	0.007805590646
